Shape;Carat;Color;Clarity;Cut;Price
Pear;0.30;J;VVS1;Excellent;428
Heart;0.30;I;VVS1;Ideal;428
Emerald;0.30;H;SI1;Excellent;428
Emerald;0.30;G;SI2;Ideal;428
Emerald;0.30;F;SI2;Excellent;428
Emerald;0.31;J;VVS2;Excellent;428
Emerald;0.31;G;SI2;Ideal;428
Cushion;0.30;G;SI2;Excellent;428
Emerald;0.30;H;SI1;Excellent;430
Emerald;0.31;I;VS2;Very Good;430
Emerald;0.31;E;SI1;Ideal;430
Heart;0.32;E;SI2;Ideal;430
Heart;0.30;G;SI2;Excellent;430
Emerald;0.30;E;SI1;Excellent;430
Emerald;0.31;I;SI1;Excellent;430
Emerald;0.31;H;SI1;Ideal;430
Emerald;0.30;K;VVS1;Ideal;430
Emerald;0.30;H;SI1;Excellent;430
Emerald;0.32;E;SI1;Very Good;431
Heart;0.29;I;VS2;Excellent;431
Marquise;0.30;I;SI1;Ideal;431
Heart;0.29;I;VS2;Ideal;431
Emerald;0.30;F;SI1;Excellent;431
Emerald;0.30;D;SI2;Ideal;433
Princess;0.35;G;SI2;Ideal;433
Emerald;0.30;F;SI1;Excellent;433
Emerald;0.29;J;VS1;Ideal;433
Heart;0.29;D;SI1;Very Good;433
Pear;0.31;I;VS1;Excellent;433
Emerald;0.32;G;SI2;Excellent;433
Pear;0.32;I;SI1;Ideal;434
Pear;0.30;E;SI2;Excellent;434
Emerald;0.30;I;VVS2;Very Good;434
Marquise;0.29;D;SI1;Ideal;434
Emerald;0.30;D;SI2;Excellent;434
Heart;0.29;I;VVS2;Ideal;434
Pear;0.30;E;SI2;Ideal;434
Emerald;0.32;E;SI2;Excellent;434
Pear;0.27;J;VS2;Ideal;434
Emerald;0.30;E;SI1;Excellent;434
Princess;0.33;I;VS2;Excellent;436
Emerald;0.30;I;VVS2;Very Good;436
Emerald;0.30;H;SI1;Excellent;436
Heart;0.30;I;VS1;Very Good;436
Emerald;0.30;I;SI1;Ideal;436
Emerald;0.30;H;SI1;Ideal;436
Emerald;0.30;E;SI1;Excellent;436
Oval;0.30;I;VS1;Ideal;436
Emerald;0.30;E;SI1;Ideal;436
Emerald;0.30;H;SI1;Ideal;436
Heart;0.30;I;VS1;Ideal;436
Emerald;0.30;H;SI1;Ideal;436
Emerald;0.30;F;SI1;Excellent;436
Pear;0.30;F;SI2;Excellent;436
Pear;0.30;H;SI1;Ideal;436
Emerald;0.30;G;SI1;Good;437
Pear;0.29;D;SI1;Excellent;437
Radiant;0.30;I;SI1;Ideal;437
Emerald;0.31;H;SI1;Excellent;437
Heart;0.30;J;VS1;Excellent;437
Emerald;0.34;F;SI1;Ideal;437
Emerald;0.31;J;VS1;Ideal;437
Pear;0.30;K;VVS1;Ideal;437
Emerald;0.30;E;SI1;Excellent;437
Pear;0.30;E;SI2;Ideal;437
Pear;0.31;H;SI1;Ideal;437
Emerald;0.30;E;SI2;Ideal;437
Emerald;0.31;F;SI1;Excellent;437
Pear;0.30;I;VS2;Ideal;437
Pear;0.31;E;SI2;Ideal;439
Pear;0.30;G;SI2;Ideal;439
Emerald;0.30;F;SI1;Very Good;439
Emerald;0.30;D;SI2;Excellent;439
Emerald;0.30;F;SI1;Ideal;439
Princess;0.30;F;SI1;Excellent;439
Emerald;0.30;F;SI2;Ideal;439
Pear;0.40;K;VS2;Excellent;439
Heart;0.29;G;SI1;Ideal;439
Oval;0.32;F;SI2;Ideal;439
Pear;0.30;H;SI1;Ideal;440
Emerald;0.30;D;SI1;Very Good;440
Emerald;0.30;D;SI1;Ideal;440
Cushion;0.26;E;VS1;Good;440
Emerald;0.31;D;SI1;Ideal;440
Heart;0.30;I;VS1;Excellent;440
Emerald;0.32;D;SI1;Very Good;440
Pear;0.35;I;SI1;Ideal;440
Emerald;0.32;H;SI2;Ideal;440
Oval;0.31;J;VVS2;Excellent;440
Heart;0.35;I;SI1;Ideal;440
Emerald;0.30;H;SI1;Very Good;440
Emerald;0.32;E;SI1;Very Good;440
Emerald;0.30;J;VVS2;Ideal;440
Pear;0.29;H;SI1;Ideal;440
Heart;0.33;H;SI1;Excellent;440
Emerald;0.30;E;SI1;Very Good;440
Emerald;0.32;E;SI1;Ideal;440
Emerald;0.30;I;VVS1;Very Good;440
Emerald;0.32;F;SI2;Ideal;440
Pear;0.30;E;SI2;Ideal;440
Emerald;0.30;I;VVS2;Excellent;440
Emerald;0.34;F;SI1;Ideal;440
Heart;0.32;I;VVS1;Ideal;440
Pear;0.29;E;SI1;Ideal;440
Emerald;0.30;E;SI1;Very Good;440
Heart;0.29;J;VS2;Ideal;440
Emerald;0.30;F;SI1;Very Good;440
Pear;0.30;F;SI2;Ideal;441
Heart;0.30;I;VS2;Ideal;441
Emerald;0.31;I;IF;Ideal;441
Emerald;0.30;E;SI1;Excellent;441
Oval;0.30;D;SI2;Excellent;441
Emerald;0.30;G;SI1;Excellent;441
Emerald;0.30;E;SI2;Excellent;441
Emerald;0.30;I;VS1;Ideal;441
Emerald;0.31;E;SI1;Very Good;441
